Feature Name,Alpha = 75.000000,Alpha = 100.000000,Alpha = 200.000000,Alpha = 300.000000
Exterior2nd_VinylSd,2951.172388550971,3000.4632271624,2074.4343647146616,1090.1344248984067
Exterior2nd_Wd Sdng,0.0,0.0,-0.0,-0.0
Exterior2nd_Wd Shng,0.0,0.0,0.0,0.0
MasVnrType_BrkCmn,-3886.8108706219473,-1909.3806836829124,-0.0,-0.0
MasVnrType_BrkFace,-1266.6673708281269,-1425.9474632123902,-2032.7707209611372,-2416.3451700418104
MasVnrType_None,318.60568228375803,209.02983141710243,0.0,0.0
MasVnrType_Stone,4586.557931492446,4103.8751882513425,2823.1690336967163,2155.941080698279
ExterQual_Ex,7503.986825927737,8186.348539097522,9210.1752785083,10398.314039371897
ExterQual_Fa,-0.0,-0.0,-0.0,-0.0
ExterQual_Gd,0.0,0.0,0.0,0.0
ExterQual_TA,-5148.679948050548,-5621.723265053765,-7540.586962162368,-8829.261575059443
ExterCond_Ex,0.0,0.0,0.0,0.0
ExterCond_Fa,0.0,-0.0,-0.0,-0.0
ExterCond_Gd,-36.668027676075475,-0.0,-0.0,-0.0
ExterCond_Po,-0.0,-0.0,-0.0,-0.0
ExterCond_TA,1745.6146021233556,1404.1899744809716,0.0,0.0
Foundation_BrkTil,-1825.9182112692251,-1528.3130797514095,-0.0,-0.0
Foundation_CBlock,-0.0,-0.0,-0.0,-0.0
Foundation_PConc,4510.281148643907,4712.40133426175,5306.271491374574,5683.446337136853
Foundation_Slab,0.0,0.0,0.0,0.0
Foundation_Stone,0.0,0.0,0.0,0.0
Foundation_Wood,-0.0,-0.0,-0.0,-0.0
BsmtQual_Ex,14164.628348490576,14377.572582560473,15317.306675881864,17002.0305962892
BsmtQual_Fa,-0.0,-0.0,-0.0,-0.0
BsmtQual_Gd,-0.0,-0.0,0.0,0.0
BsmtQual_None,2231.0997879068013,44.647758099750014,0.0,0.0
BsmtQual_TA,-3534.1106690877036,-3970.2189782970163,-4503.507214373174,-4783.916993861091
BsmtCond_Fa,-3304.637364967156,-3799.2576365738105,-3185.2336816574,-1641.4989911184678
BsmtCond_Gd,-0.0,-0.0,-0.0,0.0
BsmtCond_None,11.805244746330445,1.6383381252929534,0.0,0.0
BsmtCond_Po,-0.0,-0.0,-0.0,-0.0
BsmtCond_TA,571.4339936073322,67.28357273388508,0.0,0.0
BsmtExposure_Av,0.0,-0.0,-0.0,-0.0
BsmtExposure_Gd,14917.318223066584,14439.455704082126,13181.60756618978,11958.954705084756
BsmtExposure_Mn,-45.775478478554334,-0.0,-0.0,-0.0
BsmtExposure_No,-4489.790892654812,-4606.31017693306,-4544.160365192609,-4594.99859711022
BsmtExposure_None,0.0,0.0,0.0,0.0
BsmtFinType1_ALQ,0.0,0.0,0.0,0.0
BsmtFinType1_BLQ,-107.17801748054328,-0.0,-0.0,-0.0
BsmtFinType1_GLQ,4519.736009066318,4637.585154837342,5173.899611900091,5421.879134536326
BsmtFinType1_LwQ,-2944.442074502209,-2302.3048166274434,-309.6528188023919,-0.0
BsmtFinType1_None,0.0,0.0,0.0,0.0
BsmtFinType1_Rec,-2695.1548338541256,-2553.7779062406535,-1864.0559326164273,-1035.4815240119192
BsmtFinType1_Unf,0.0,0.0,0.0,0.0
BsmtFinType2_ALQ,629.7298198762195,0.0,0.0,0.0
BsmtFinType2_BLQ,-1843.3511200438616,-385.1514781126707,-0.0,-0.0
BsmtFinType2_GLQ,0.0,0.0,0.0,0.0
BsmtFinType2_LwQ,-1169.6760867099174,-0.0,-0.0,-0.0
BsmtFinType2_None,0.0,0.0,0.0,0.0
BsmtFinType2_Rec,-1252.697877788754,-0.0,-0.0,-0.0
BsmtFinType2_Unf,0.0,0.0,-0.0,-0.0
Heating_GasA,0.0,0.0,0.0,0.0
Heating_GasW,-0.0,-0.0,-0.0,-0.0
Heating_Grav,-0.0,-0.0,-0.0,-0.0
Heating_Wall,0.0,0.0,0.0,0.0
HeatingQC_Ex,4033.5582869017385,4337.264959295736,4609.7874984994705,5021.446026456372
HeatingQC_Fa,-0.0,-0.0,-0.0,-0.0
HeatingQC_Gd,0.0,0.0,0.0,0.0
HeatingQC_Po,0.0,0.0,0.0,0.0
HeatingQC_TA,-297.72111075111746,-299.10044225497495,-645.1697165448106,-926.5822873184904
CentralAir_N,-2938.774325701128,-3157.6399705387703,-4591.419707491586,-4949.497531469436
